,Employee_Count,Annual_Revenue_M,IT_Spend_Percent_Revenue,AI_Budget_Allocated,AI_Budget_Percent_Revenue,Budget_Growth_YoY,Has_Dedicated_AI_Team,Technical_Readiness_Score,API_Integration_Score,Data_Lake_Exists,Legacy_System_Score,Data_Maturity_Index,Governance_Framework_Exists,Governance_Maturity,AI_Governance_Committee,Model_Risk_Management_Maturity,Compliance_Incidents_12M,Risk_Culture_Score,Data_Privacy_Compliant,Cybersecurity_Level,Leadership_Commitment,Training_Investment_Per_Employee,Existing_AI_Projects,Use_Case_Breadth,TRxGov,LLM_Adoption_Status
Employee_Count,1.0,0.418,0.235,0.424,0.322,0.082,0.139,0.202,0.246,0.122,-0.335,0.269,0.061,0.236,0.112,0.177,0.007,0.106,0.012,0.218,0.149,0.082,0.331,0.171,0.294,0.263
Annual_Revenue_M,0.418,1.0,0.204,0.864,0.282,0.07,0.121,0.175,0.217,0.113,-0.293,0.235,0.052,0.201,0.085,0.148,0.015,0.097,0.01,0.189,0.129,0.08,0.295,0.148,0.254,0.23
IT_Spend_Percent_Revenue,0.235,0.204,1.0,0.248,0.369,0.037,0.164,0.436,0.47,0.226,-0.417,0.433,0.03,0.142,0.063,0.101,0.011,0.068,0.005,0.309,0.088,0.105,0.414,0.28,0.322,0.332
AI_Budget_Allocated,0.424,0.864,0.248,1.0,0.507,0.116,0.142,0.266,0.307,0.176,-0.346,0.342,0.062,0.217,0.093,0.169,0.0,0.118,0.012,0.234,0.214,0.129,0.388,0.239,0.32,0.361
AI_Budget_Percent_Revenue,0.322,0.282,0.369,0.507,1.0,0.209,0.2,0.485,0.521,0.319,-0.488,0.616,0.093,0.276,0.124,0.221,-0.027,0.163,0.011,0.361,0.416,0.235,0.494,0.407,0.457,0.609
Budget_Growth_YoY,0.082,0.07,0.037,0.116,0.209,1.0,0.029,0.035,0.043,0.1,-0.068,0.192,0.062,0.142,0.059,0.122,-0.046,0.099,0.009,0.046,0.359,0.134,0.059,0.132,0.13,0.135
Has_Dedicated_AI_Team,0.139,0.121,0.164,0.142,0.2,0.029,1.0,0.353,0.237,0.117,-0.22,0.229,0.024,0.079,0.043,0.06,0.003,0.042,-0.006,0.156,0.044,0.065,0.223,0.138,0.233,0.208
Technical_Readiness_Score,0.202,0.175,0.436,0.266,0.485,0.035,0.353,1.0,0.7,0.337,-0.549,0.626,0.036,0.117,0.057,0.086,0.001,0.06,0.002,0.424,0.078,0.154,0.567,0.419,0.572,0.54
API_Integration_Score,0.246,0.217,0.47,0.307,0.521,0.043,0.237,0.7,1.0,0.351,-0.712,0.659,0.045,0.156,0.072,0.112,0.002,0.074,0.008,0.459,0.091,0.16,0.615,0.438,0.462,0.514
Data_Lake_Exists,0.122,0.113,0.226,0.176,0.319,0.1,0.117,0.337,0.351,1.0,-0.293,0.382,0.046,0.117,0.047,0.093,-0.017,0.072,-0.002,0.219,0.186,0.138,0.291,0.25,0.255,0.278
Legacy_System_Score,-0.335,-0.293,-0.417,-0.346,-0.488,-0.068,-0.22,-0.549,-0.712,-0.293,1.0,-0.556,-0.057,-0.206,-0.097,-0.15,-0.009,-0.097,-0.004,-0.401,-0.128,-0.146,-0.533,-0.359,-0.427,-0.466
Data_Maturity_Index,0.269,0.235,0.433,0.342,0.616,0.192,0.229,0.626,0.659,0.382,-0.556,1.0,0.084,0.239,0.108,0.189,-0.029,0.143,0.012,0.429,0.373,0.247,0.559,0.467,0.49,0.556
Governance_Framework_Exists,0.061,0.052,0.03,0.062,0.093,0.062,0.024,0.036,0.045,0.046,-0.057,0.084,1.0,0.308,0.133,0.285,-0.112,0.245,0.021,0.038,0.117,0.04,0.048,0.054,0.259,0.104
Governance_Maturity,0.236,0.201,0.142,0.217,0.276,0.142,0.079,0.117,0.156,0.117,-0.206,0.239,0.308,1.0,0.314,0.653,-0.21,0.553,0.047,0.142,0.278,0.117,0.173,0.156,0.85,0.336
AI_Governance_Committee,0.112,0.085,0.063,0.093,0.124,0.059,0.043,0.057,0.072,0.047,-0.097,0.108,0.133,0.314,1.0,0.286,-0.095,0.243,0.019,0.064,0.123,0.055,0.083,0.071,0.278,0.128
Model_Risk_Management_Maturity,0.177,0.148,0.101,0.169,0.221,0.122,0.06,0.086,0.112,0.093,-0.15,0.189,0.285,0.653,0.286,1.0,-0.205,0.51,0.041,0.096,0.241,0.096,0.131,0.124,0.56,0.243
Compliance_Incidents_12M,0.007,0.015,0.011,0.0,-0.027,-0.046,0.003,0.001,0.002,-0.017,-0.009,-0.029,-0.112,-0.21,-0.095,-0.205,1.0,-0.19,-0.014,-0.001,-0.076,-0.021,0.011,-0.021,-0.167,-0.093
Risk_Culture_Score,0.106,0.097,0.068,0.118,0.163,0.099,0.042,0.06,0.074,0.072,-0.097,0.143,0.245,0.553,0.243,0.51,-0.19,1.0,0.042,0.063,0.196,0.077,0.083,0.105,0.47,0.192
Data_Privacy_Compliant,0.012,0.01,0.005,0.012,0.011,0.009,-0.006,0.002,0.008,-0.002,-0.004,0.012,0.021,0.047,0.019,0.041,-0.014,0.042,1.0,0.006,0.019,0.016,0.007,0.007,0.039,0.036
Cybersecurity_Level,0.218,0.189,0.309,0.234,0.361,0.046,0.156,0.424,0.459,0.219,-0.401,0.429,0.038,0.142,0.064,0.096,-0.001,0.063,0.006,1.0,0.084,0.112,0.398,0.27,0.316,0.328
Leadership_Commitment,0.149,0.129,0.088,0.214,0.416,0.359,0.044,0.078,0.091,0.186,-0.128,0.373,0.117,0.278,0.123,0.241,-0.076,0.196,0.019,0.084,1.0,0.26,0.116,0.246,0.259,0.287
Training_Investment_Per_Employee,0.082,0.08,0.105,0.129,0.235,0.134,0.065,0.154,0.16,0.138,-0.146,0.247,0.04,0.117,0.055,0.096,-0.021,0.077,0.016,0.112,0.26,1.0,0.144,0.17,0.168,0.184
Existing_AI_Projects,0.331,0.295,0.414,0.388,0.494,0.059,0.223,0.567,0.615,0.291,-0.533,0.559,0.048,0.173,0.083,0.131,0.011,0.083,0.007,0.398,0.116,0.144,1.0,0.41,0.426,0.461
Use_Case_Breadth,0.171,0.148,0.28,0.239,0.407,0.132,0.138,0.419,0.438,0.25,-0.359,0.467,0.054,0.156,0.071,0.124,-0.021,0.105,0.007,0.27,0.246,0.17,0.41,1.0,0.338,0.368
TRxGov,0.294,0.254,0.322,0.32,0.457,0.13,0.233,0.572,0.462,0.255,-0.427,0.49,0.259,0.85,0.278,0.56,-0.167,0.47,0.039,0.316,0.259,0.168,0.426,0.338,1.0,0.571
LLM_Adoption_Status,0.263,0.23,0.332,0.361,0.609,0.135,0.208,0.54,0.514,0.278,-0.466,0.556,0.104,0.336,0.128,0.243,-0.093,0.192,0.036,0.328,0.287,0.184,0.461,0.368,0.571,1.0
