,mean_abs_shap
num_other__TRxGov,2.414077340060871
num_other__Governance_Maturity,1.433333140484956
num_other__AI_Budget_Percent_Revenue,1.1985008324897493
num_other__Data_Maturity_Index,0.2921463484234628
num_other__Leadership_Commitment,0.28241089138350833
num_other__Legacy_System_Score,0.278478799742709
num_other__API_Integration_Score,0.23669184981720132
num_other__Compliance_Incidents_12M,0.23608347323765264
binary__Data_Privacy_Compliant,0.09760244026894367
ohe_nom__Country_Other,0.05360848756382184
log_num__AI_Budget_Allocated,0.03926179813701014
ohe_nom__Country_United States,0.03914899101716359
binary__Governance_Framework_Exists,0.030176100914165466
num_other__IT_Spend_Percent_Revenue,0.02705852744992722
binary__Has_Dedicated_AI_Team,0.026658109048429652
num_other__Risk_Culture_Score,0.025388385245462372
num_other__Cybersecurity_Level,0.024973909762559688
log_num__Annual_Revenue_M,0.024007918342091403
ohe_nom__Institution_Type_Bank,0.022208576095330588
ohe_nom__Institution_Type_Fintech,0.018805456838999826
ohe_nom__Institution_Type_Brokerage/Dealer,0.018578229311721973
ohe_nom__Deployment_Mode_PublicCloud,0.017219176426554062
num_other__Existing_AI_Projects,0.01529668069014424
num_other__Technical_Readiness_Score,0.01523209363786986
ohe_nom__Deployment_Mode_PrivateCloud,0.011234265213147146
ohe_nom__Institution_Type_Insurance,0.010824170106409332
log_num__Training_Investment_Per_Employee,0.010179148460463966
ohe_nom__Institution_Type_Credit Union,0.009653516419302953
binary__AI_Governance_Committee,0.009553909712418054
num_other__Use_Case_Breadth,0.008909169524391651
num_other__Model_Risk_Management_Maturity,0.00880791924214447
num_other__Budget_Growth_YoY,0.00821907632174888
ohe_nom__Vendor_Strategy_Vendor,0.007354343424355283
log_num__Employee_Count,0.005570325282941402
ohe_nom__Institution_Type_Payment Processor,0.0032107316878781907
ohe_nom__Vendor_Strategy_In-house,0.0
ohe_nom__Institution_Type_RegTech,0.0
binary__Data_Lake_Exists,0.0
ohe_nom__Institution_Type_Investment Bank,0.0
ohe_nom__Institution_Type_Hedge Fund,0.0
ohe_nom__Country_United Kingdom,0.0
