,Employee_Count,Annual_Revenue_M,IT_Spend_Percent_Revenue,AI_Budget_Allocated,AI_Budget_Percent_Revenue,Budget_Growth_YoY,Has_Dedicated_AI_Team,Technical_Readiness_Score,API_Integration_Score,Data_Lake_Exists,Legacy_System_Score,Data_Maturity_Index,Governance_Framework_Exists,Governance_Maturity,AI_Governance_Committee,Model_Risk_Management_Maturity,Compliance_Incidents_12M,Risk_Culture_Score,Data_Privacy_Compliant,Cybersecurity_Level,Leadership_Commitment,Training_Investment_Per_Employee,Existing_AI_Projects,Use_Case_Breadth,LLM_Adoption_Status
Employee_Count,1.0,0.419,0.229,0.428,0.323,0.083,0.135,0.199,0.243,0.12,-0.333,0.265,0.061,0.237,0.111,0.177,0.01,0.106,0.01,0.219,0.149,0.082,0.331,0.172,0.261
Annual_Revenue_M,0.419,1.0,0.201,0.867,0.282,0.069,0.118,0.174,0.216,0.11,-0.29,0.232,0.051,0.202,0.086,0.151,0.016,0.094,0.01,0.188,0.125,0.079,0.298,0.147,0.228
IT_Spend_Percent_Revenue,0.229,0.201,1.0,0.245,0.366,0.039,0.166,0.436,0.465,0.225,-0.411,0.431,0.034,0.142,0.061,0.104,0.011,0.066,0.005,0.308,0.088,0.106,0.412,0.279,0.33
AI_Budget_Allocated,0.428,0.867,0.245,1.0,0.503,0.115,0.139,0.263,0.305,0.171,-0.341,0.337,0.065,0.218,0.094,0.172,0.002,0.115,0.011,0.232,0.208,0.128,0.389,0.239,0.357
AI_Budget_Percent_Revenue,0.323,0.282,0.366,0.503,1.0,0.21,0.199,0.484,0.519,0.318,-0.486,0.614,0.096,0.275,0.123,0.222,-0.022,0.162,0.011,0.363,0.415,0.236,0.492,0.408,0.609
Budget_Growth_YoY,0.083,0.069,0.039,0.115,0.21,1.0,0.025,0.035,0.044,0.103,-0.07,0.193,0.064,0.141,0.06,0.121,-0.045,0.099,0.007,0.045,0.361,0.131,0.06,0.133,0.137
Has_Dedicated_AI_Team,0.135,0.118,0.166,0.139,0.199,0.025,1.0,0.353,0.238,0.115,-0.219,0.227,0.023,0.079,0.038,0.059,0.005,0.042,-0.006,0.155,0.045,0.061,0.22,0.138,0.209
Technical_Readiness_Score,0.199,0.174,0.436,0.263,0.484,0.035,0.353,1.0,0.7,0.335,-0.548,0.626,0.038,0.119,0.056,0.087,0.003,0.061,0.002,0.426,0.077,0.155,0.563,0.419,0.539
API_Integration_Score,0.243,0.216,0.465,0.305,0.519,0.044,0.238,0.7,1.0,0.349,-0.71,0.658,0.047,0.155,0.069,0.113,0.006,0.073,0.008,0.46,0.092,0.162,0.612,0.44,0.514
Data_Lake_Exists,0.12,0.11,0.225,0.171,0.318,0.103,0.115,0.335,0.349,1.0,-0.289,0.382,0.045,0.119,0.048,0.094,-0.014,0.073,0.004,0.22,0.19,0.135,0.291,0.252,0.277
Legacy_System_Score,-0.333,-0.29,-0.411,-0.341,-0.486,-0.07,-0.219,-0.548,-0.71,-0.289,1.0,-0.555,-0.057,-0.205,-0.095,-0.149,-0.012,-0.095,-0.005,-0.402,-0.129,-0.148,-0.531,-0.359,-0.466
Data_Maturity_Index,0.265,0.232,0.431,0.337,0.614,0.193,0.227,0.626,0.658,0.382,-0.555,1.0,0.084,0.238,0.107,0.191,-0.025,0.144,0.011,0.429,0.373,0.246,0.558,0.469,0.555
Governance_Framework_Exists,0.061,0.051,0.034,0.065,0.096,0.064,0.023,0.038,0.047,0.045,-0.057,0.084,1.0,0.31,0.135,0.287,-0.111,0.246,0.023,0.039,0.116,0.044,0.052,0.057,0.106
Governance_Maturity,0.237,0.202,0.142,0.218,0.275,0.141,0.079,0.119,0.155,0.119,-0.205,0.238,0.31,1.0,0.313,0.651,-0.209,0.553,0.047,0.141,0.277,0.115,0.174,0.154,0.337
AI_Governance_Committee,0.111,0.086,0.061,0.094,0.123,0.06,0.038,0.056,0.069,0.048,-0.095,0.107,0.135,0.313,1.0,0.284,-0.097,0.239,0.018,0.066,0.121,0.051,0.081,0.071,0.127
Model_Risk_Management_Maturity,0.177,0.151,0.104,0.172,0.222,0.121,0.059,0.087,0.113,0.094,-0.149,0.191,0.287,0.651,0.284,1.0,-0.202,0.509,0.043,0.1,0.24,0.096,0.134,0.124,0.244
Compliance_Incidents_12M,0.01,0.016,0.011,0.002,-0.022,-0.045,0.005,0.003,0.006,-0.014,-0.012,-0.025,-0.111,-0.209,-0.097,-0.202,1.0,-0.188,-0.014,0.003,-0.073,-0.023,0.011,-0.018,-0.092
Risk_Culture_Score,0.106,0.094,0.066,0.115,0.162,0.099,0.042,0.061,0.073,0.073,-0.095,0.144,0.246,0.553,0.239,0.509,-0.188,1.0,0.04,0.064,0.196,0.076,0.085,0.103,0.191
Data_Privacy_Compliant,0.01,0.01,0.005,0.011,0.011,0.007,-0.006,0.002,0.008,0.004,-0.005,0.011,0.023,0.047,0.018,0.043,-0.014,0.04,1.0,0.005,0.019,0.01,0.007,0.008,0.036
Cybersecurity_Level,0.219,0.188,0.308,0.232,0.363,0.045,0.155,0.426,0.46,0.22,-0.402,0.429,0.039,0.141,0.066,0.1,0.003,0.064,0.005,1.0,0.087,0.112,0.396,0.272,0.328
Leadership_Commitment,0.149,0.125,0.088,0.208,0.415,0.361,0.045,0.077,0.092,0.19,-0.129,0.373,0.116,0.277,0.121,0.24,-0.073,0.196,0.019,0.087,1.0,0.26,0.117,0.248,0.287
Training_Investment_Per_Employee,0.082,0.079,0.106,0.128,0.236,0.131,0.061,0.155,0.162,0.135,-0.148,0.246,0.044,0.115,0.051,0.096,-0.023,0.076,0.01,0.112,0.26,1.0,0.147,0.173,0.185
Existing_AI_Projects,0.331,0.298,0.412,0.389,0.492,0.06,0.22,0.563,0.612,0.291,-0.531,0.558,0.052,0.174,0.081,0.134,0.011,0.085,0.007,0.396,0.117,0.147,1.0,0.412,0.458
Use_Case_Breadth,0.172,0.147,0.279,0.239,0.408,0.133,0.138,0.419,0.44,0.252,-0.359,0.469,0.057,0.154,0.071,0.124,-0.018,0.103,0.008,0.272,0.248,0.173,0.412,1.0,0.369
LLM_Adoption_Status,0.261,0.228,0.33,0.357,0.609,0.137,0.209,0.539,0.514,0.277,-0.466,0.555,0.106,0.337,0.127,0.244,-0.092,0.191,0.036,0.328,0.287,0.185,0.458,0.369,1.0
