,Employee_Count,Annual_Revenue_M,IT_Spend_Percent_Revenue,AI_Budget_Allocated,AI_Budget_Percent_Revenue,Budget_Growth_YoY,Has_Dedicated_AI_Team,Technical_Readiness_Score,API_Integration_Score,Data_Lake_Exists,Legacy_System_Score,Data_Maturity_Index,Governance_Framework_Exists,Governance_Maturity,AI_Governance_Committee,Model_Risk_Management_Maturity,Compliance_Incidents_12M,Risk_Culture_Score,Data_Privacy_Compliant,Cybersecurity_Level,Leadership_Commitment,Training_Investment_Per_Employee,Existing_AI_Projects,Use_Case_Breadth,LLM_Adoption_Status
Employee_Count,1.0,0.501,0.26,0.507,0.366,0.089,0.154,0.227,0.278,0.143,-0.38,0.311,0.07,0.275,0.128,0.202,0.01,0.124,0.008,0.261,0.168,0.097,0.34,0.175,0.287
Annual_Revenue_M,0.501,1.0,0.25,0.783,0.35,0.085,0.153,0.223,0.268,0.139,-0.367,0.3,0.07,0.261,0.112,0.192,0.015,0.115,0.011,0.249,0.165,0.099,0.331,0.169,0.276
IT_Spend_Percent_Revenue,0.26,0.25,1.0,0.358,0.356,0.034,0.163,0.419,0.45,0.221,-0.395,0.422,0.033,0.14,0.059,0.102,0.009,0.065,0.005,0.302,0.085,0.113,0.403,0.267,0.326
AI_Budget_Allocated,0.507,0.783,0.358,1.0,0.794,0.17,0.205,0.41,0.459,0.269,-0.499,0.537,0.096,0.315,0.14,0.243,-0.001,0.162,0.01,0.359,0.341,0.204,0.475,0.325,0.495
AI_Budget_Percent_Revenue,0.366,0.35,0.356,0.794,1.0,0.203,0.196,0.474,0.508,0.317,-0.477,0.611,0.095,0.273,0.122,0.22,-0.013,0.16,0.009,0.361,0.413,0.247,0.475,0.382,0.597
Budget_Growth_YoY,0.089,0.085,0.034,0.17,0.203,1.0,0.026,0.033,0.043,0.101,-0.066,0.188,0.062,0.139,0.059,0.118,-0.035,0.097,0.007,0.045,0.356,0.135,0.056,0.122,0.136
Has_Dedicated_AI_Team,0.154,0.153,0.163,0.205,0.196,0.026,1.0,0.351,0.235,0.115,-0.214,0.226,0.023,0.079,0.038,0.059,0.001,0.042,-0.006,0.155,0.045,0.066,0.217,0.133,0.209
Technical_Readiness_Score,0.227,0.223,0.419,0.41,0.474,0.033,0.351,1.0,0.686,0.333,-0.533,0.618,0.039,0.115,0.052,0.085,0.002,0.059,0.001,0.421,0.074,0.158,0.562,0.4,0.548
API_Integration_Score,0.278,0.268,0.45,0.459,0.508,0.043,0.235,0.686,1.0,0.347,-0.697,0.651,0.046,0.15,0.066,0.11,0.004,0.069,0.007,0.455,0.089,0.171,0.602,0.416,0.515
Data_Lake_Exists,0.143,0.139,0.221,0.269,0.317,0.101,0.115,0.333,0.347,1.0,-0.286,0.381,0.045,0.119,0.048,0.094,-0.007,0.073,0.004,0.22,0.19,0.14,0.297,0.247,0.277
Legacy_System_Score,-0.38,-0.367,-0.395,-0.499,-0.477,-0.066,-0.214,-0.533,-0.697,-0.286,1.0,-0.547,-0.055,-0.201,-0.095,-0.146,-0.008,-0.093,-0.004,-0.398,-0.126,-0.156,-0.522,-0.338,-0.467
Data_Maturity_Index,0.311,0.3,0.422,0.537,0.611,0.188,0.226,0.618,0.651,0.381,-0.547,1.0,0.083,0.237,0.106,0.19,-0.016,0.143,0.011,0.427,0.371,0.265,0.565,0.457,0.554
Governance_Framework_Exists,0.07,0.07,0.033,0.096,0.095,0.062,0.023,0.039,0.046,0.045,-0.055,0.083,1.0,0.31,0.135,0.287,-0.08,0.246,0.023,0.039,0.116,0.048,0.05,0.054,0.106
Governance_Maturity,0.275,0.261,0.14,0.315,0.273,0.139,0.079,0.115,0.15,0.119,-0.201,0.237,0.31,1.0,0.313,0.651,-0.151,0.553,0.047,0.141,0.277,0.126,0.173,0.147,0.337
AI_Governance_Committee,0.128,0.112,0.059,0.14,0.122,0.059,0.038,0.052,0.066,0.048,-0.095,0.106,0.135,0.313,1.0,0.284,-0.069,0.239,0.018,0.066,0.121,0.053,0.079,0.067,0.127
Model_Risk_Management_Maturity,0.202,0.192,0.102,0.243,0.22,0.118,0.059,0.085,0.11,0.094,-0.146,0.19,0.287,0.651,0.284,1.0,-0.145,0.509,0.043,0.1,0.24,0.105,0.13,0.119,0.244
Compliance_Incidents_12M,0.01,0.015,0.009,-0.001,-0.013,-0.035,0.001,0.002,0.004,-0.007,-0.008,-0.016,-0.08,-0.151,-0.069,-0.145,1.0,-0.134,-0.008,-0.001,-0.05,-0.02,0.005,-0.008,-0.074
Risk_Culture_Score,0.124,0.115,0.065,0.162,0.16,0.097,0.042,0.059,0.069,0.073,-0.093,0.143,0.246,0.553,0.239,0.509,-0.134,1.0,0.04,0.064,0.196,0.086,0.082,0.097,0.191
Data_Privacy_Compliant,0.008,0.011,0.005,0.01,0.009,0.007,-0.006,0.001,0.007,0.004,-0.004,0.011,0.023,0.047,0.018,0.043,-0.008,0.04,1.0,0.005,0.019,0.008,0.006,0.005,0.036
Cybersecurity_Level,0.261,0.249,0.302,0.359,0.361,0.045,0.155,0.421,0.455,0.22,-0.398,0.427,0.039,0.141,0.066,0.1,-0.001,0.064,0.005,1.0,0.087,0.119,0.404,0.262,0.328
Leadership_Commitment,0.168,0.165,0.085,0.341,0.413,0.356,0.045,0.074,0.089,0.19,-0.126,0.371,0.116,0.277,0.121,0.24,-0.05,0.196,0.019,0.087,1.0,0.281,0.114,0.238,0.287
Training_Investment_Per_Employee,0.097,0.099,0.113,0.204,0.247,0.135,0.066,0.158,0.171,0.14,-0.156,0.265,0.048,0.126,0.053,0.105,-0.02,0.086,0.008,0.119,0.281,1.0,0.148,0.17,0.191
Existing_AI_Projects,0.34,0.331,0.403,0.475,0.475,0.056,0.217,0.562,0.602,0.297,-0.522,0.565,0.05,0.173,0.079,0.13,0.005,0.082,0.006,0.404,0.114,0.148,1.0,0.357,0.44
Use_Case_Breadth,0.175,0.169,0.267,0.325,0.382,0.122,0.133,0.4,0.416,0.247,-0.338,0.457,0.054,0.147,0.067,0.119,-0.008,0.097,0.005,0.262,0.238,0.17,0.357,1.0,0.347
LLM_Adoption_Status,0.287,0.276,0.326,0.495,0.597,0.136,0.209,0.548,0.515,0.277,-0.467,0.554,0.106,0.337,0.127,0.244,-0.074,0.191,0.036,0.328,0.287,0.191,0.44,0.347,1.0
