,Spearman_with_Target
AI_Budget_Percent_Revenue,0.597
Data_Maturity_Index,0.554
Technical_Readiness_Score,0.548
API_Integration_Score,0.515
AI_Budget_Allocated,0.495
Existing_AI_Projects,0.44
Use_Case_Breadth,0.347
Governance_Maturity,0.337
Cybersecurity_Level,0.328
IT_Spend_Percent_Revenue,0.326
Leadership_Commitment,0.287
Employee_Count,0.287
Data_Lake_Exists,0.277
Annual_Revenue_M,0.276
Model_Risk_Management_Maturity,0.244
Has_Dedicated_AI_Team,0.209
Training_Investment_Per_Employee,0.191
Risk_Culture_Score,0.191
Budget_Growth_YoY,0.136
AI_Governance_Committee,0.127
Governance_Framework_Exists,0.106
Data_Privacy_Compliant,0.036
Compliance_Incidents_12M,-0.074
Legacy_System_Score,-0.467
