Institution_ID,Institution_Type,Country,Employee_Count,Annual_Revenue_M,IT_Spend_Percent_Revenue,AI_Budget_Allocated,AI_Budget_Percent_Revenue,Budget_Growth_YoY,Has_Dedicated_AI_Team,Technical_Readiness_Score,API_Integration_Score,Data_Lake_Exists,Legacy_System_Score,Data_Maturity_Index,Governance_Framework_Exists,Governance_Maturity,AI_Governance_Committee,Model_Risk_Management_Maturity,Compliance_Incidents_12M,Risk_Culture_Score,Data_Privacy_Compliant,Cybersecurity_Level,Leadership_Commitment,Training_Investment_Per_Employee,Vendor_Strategy,Deployment_Mode,Existing_AI_Projects,Use_Case_Breadth,LLM_Adoption_Status
1,Fintech,Other,3486,1318.75,4.94,6.91,0.501,16.15,1,36,37,0,50,0.623,1,5,1,5,0,5,1,3,4,1283.82,Hybrid,PrivateCloud,8,0,0
2,Hedge Fund,United Kingdom,2413,3886.49,5.3,65.31,1.652,9.99,0,61,52,1,51,0.936,0,5,0,4,1,4,1,5,5,1132.47,Hybrid,PrivateCloud,6,7,1
3,Investment Bank,United States,1836,1231.56,3.7,16.57,1.289,13.26,0,100,36,1,68,0.708,0,3,1,2,0,5,1,2,4,605.3,Vendor,PrivateCloud,3,4,1
4,Insurance,European Union,479,368.2,2.16,1.0,0.289,8.23,1,51,0,0,84,0.131,1,1,0,1,0,4,1,5,4,680.8,Vendor,PublicCloud,3,1,0
5,Bank,United Kingdom,2335,1855.09,3.68,23.19,1.158,5.86,0,50,18,0,77,0.158,1,4,1,2,0,2,0,5,5,387.72,Vendor,On-Prem,4,2,0
6,Bank,European Union,986,580.91,4.38,3.13,0.556,20.23,0,51,25,0,52,0.516,0,3,0,3,0,2,1,4,4,688.27,Vendor,PrivateCloud,3,0,0
7,Bank,United States,3685,287.45,4.55,2.13,0.76,12.61,0,35,3,0,73,0.203,0,1,0,1,0,1,0,3,5,290.34,Hybrid,PublicCloud,1,0,0
8,Brokerage/Dealer,European Union,770,177.87,3.98,0.11,0.065,20.24,1,46,28,0,78,0.278,1,4,1,5,0,4,1,2,4,516.03,Hybrid,On-Prem,2,3,0
9,Asset Manager,United Kingdom,1041,2024.65,4.18,5.35,0.236,6.4,1,74,69,1,49,0.695,0,1,0,5,0,4,0,3,5,1354.05,Vendor,PublicCloud,6,4,0
10,Investment Bank,United Kingdom,730,228.99,2.3,0.0,0.0,5.71,0,39,18,0,86,0.216,0,4,0,2,0,3,0,3,1,594.69,Vendor,On-Prem,3,3,0
11,Bank,Other,936,567.38,3.64,4.72,0.682,9.56,0,64,53,0,47,0.817,1,3,1,4,0,4,1,4,3,1795.54,Vendor,PublicCloud,3,1,1
12,Hedge Fund,United Kingdom,338,119.54,2.33,1.23,1.095,11.72,0,57,38,1,56,0.557,0,1,1,1,0,3,1,2,3,1128.9,Vendor,On-Prem,1,1,0
13,Payment Processor,European Union,2417,518.11,6.82,1.76,0.349,2.36,1,71,51,0,65,0.429,1,4,1,3,1,3,0,4,2,2973.58,Hybrid,On-Prem,2,1,0
14,Bank,European Union,2074,365.02,4.26,2.99,0.957,12.79,0,58,49,1,66,0.667,1,1,1,1,4,1,1,3,4,675.51,Hybrid,PrivateCloud,4,3,0
15,Bank,United States,378,429.86,1.93,2.0,0.58,-1.61,1,54,40,1,73,0.057,1,3,1,4,0,4,1,2,2,827.87,Vendor,PublicCloud,4,1,0
16,Bank,European Union,2192,3240.53,7.8,42.46,1.408,13.21,1,87,64,1,39,0.962,1,5,1,5,1,5,1,5,5,2410.37,In-house,PrivateCloud,16,7,1
17,Bank,United Kingdom,799,630.55,3.13,0.0,0.0,4.8,0,23,23,1,93,0.147,0,1,0,1,0,3,0,1,1,352.44,Vendor,PrivateCloud,3,3,0
18,Insurance,European Union,879,905.45,6.79,16.75,1.9,17.67,1,57,77,0,31,0.93,0,3,0,1,1,5,0,5,5,1197.47,Hybrid,On-Prem,10,5,1
